date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:06	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a38aaa-1538f%22	https://my.its.ac.id/assets/js/core/jquery.min.js	my.its.ac.id/assets/js/core/jquery.min.js	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:06	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202024%2007:38:05%20GMT	https://my.its.ac.id/?client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&amp;response_type=code&amp;scope=group+resource+role+openid&amp;state=ccffe13f11b353a432f554f0d3d9771d&amp;prompt=&amp;redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&amp;nonce=da5850b927937a90433b0eff84b79445	my.its.ac.id/index97f2.html	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:07	11567/11567	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a38ac4-2d2f%22	https://my.its.ac.id/assets/plugins/nprogress/nprogress.js	my.its.ac.id/assets/plugins/nprogress/nprogress.js	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:07	372/372	---M--	200	added ('OK')	application/javascript	etag:%2261a38aaa-174%22	https://my.its.ac.id/assets/js/common.min.js	my.its.ac.id/assets/js/common.min.js	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:09	54919/54919	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a38aaa-d687%22	https://my.its.ac.id/assets/js/jsencrypt.min.js	my.its.ac.id/assets/js/jsencrypt.min.js	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:10	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%2261a38aab-d747%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css	(from https://my.its.ac.id/sso/password/forgot)
14:38:10	70/70	---MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2030%20Apr%202024%2007:38:11%20GMT	https://my.its.ac.id/authorize?response_type=code%26redirect_uri=https%3A%2F%2Fmy.its.ac.id%2Fsso%2Fauth%26client_id=8F7FA330-B0AF-4D91-9EC4-1A4182336EEC%26nonce=7449eed0d67ea5834d148cebf1bee386%26state=6ce383f873c3e89000976b4ce57ceaab%26scope=openid+integra+profile+email+phone+group+role+resource	my.its.ac.id/authorize.e9562.delayed	(from https://my.its.ac.id/?client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&amp;response_type=code&amp;scope=group+resource+role+openid&amp;state=ccffe13f11b353a432f554f0d3d9771d&amp;prompt=&amp;redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&amp;nonce=da5850b927937a90433b0eff84b79445)
14:38:12	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-1fb7c%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:12	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202024%2007:38:10%20GMT	https://my.its.ac.id//	my.its.ac.id/index.html	(from https://my.its.ac.id/sso/password/forgot)
14:38:13	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-1fb7c%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot?	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:13	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%2261a38aab-12410%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:14	87688/87688	---M--	200	added ('OK')	font/woff	etag:%2261a38aab-15688%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
